0.000000 31.000000
3.858E-7 13.716101 37.932858
3.858E-7 13.600585 37.966282
3.858E-7 13.499289 38.005939
3.858E-7 13.419496 38.055027
3.858E-7 13.373739 38.113197
3.858E-7 13.357299 38.177746
3.858E-7 13.364570 38.245354
3.858E-7 13.399755 38.313492
3.858E-7 13.485082 38.390720
3.858E-7 13.636829 38.487579
3.858E-7 13.804605 38.582920
3.858E-7 13.906509 38.648537
3.858E-7 13.887064 38.667389
3.858E-7 13.779402 38.657883
3.858E-7 13.619936 38.632088
3.858E-7 13.449946 38.598217
3.858E-7 13.307974 38.564678
3.858E-7 13.136494 38.521984
3.858E-7 12.995971 38.486702
3.858E-7 12.904949 38.464390
3.858E-7 12.851898 38.452061
3.858E-7 12.818762 38.444931
3.858E-7 12.796240 38.440681
3.858E-7 12.787985 38.439976
3.858E-7 0.000000 0.000000
151.000000 181.000000
3.858E-7 21.425367 37.769344
3.858E-7 21.230856 37.764580
3.858E-7 20.895662 37.758671
3.858E-7 20.543232 37.752934
3.858E-7 20.144461 37.746868
3.858E-7 19.729927 37.741695
3.858E-7 19.279987 37.739059
3.858E-7 18.785219 37.735054
3.858E-7 18.256264 37.730278
3.858E-7 17.674089 37.724735
3.858E-7 17.081135 37.721451
3.858E-7 16.481623 37.720322
3.858E-7 15.939030 37.726017
3.858E-7 15.480244 37.742062
3.858E-7 15.070272 37.766464
3.858E-7 14.686736 37.798229
3.858E-7 14.368989 37.836517
3.858E-7 14.118470 37.880825
3.858E-7 13.910318 37.931648
3.858E-7 13.736431 37.989159
3.858E-7 13.599339 38.052631
3.858E-7 13.506124 38.121223
3.858E-7 13.460282 38.193970
3.858E-7 13.457916 38.269192
3.858E-7 13.492223 38.343071
3.858E-7 13.566895 38.420986
3.858E-7 13.692236 38.511230
3.858E-7 13.824444 38.597237
3.858E-7 13.890626 38.650986
3.858E-7 13.854011 38.663601
3.858E-7 13.740500 38.651299
3.858E-7 13.587325 38.625568
3.858E-7 13.430126 38.593449
3.858E-7 13.289191 38.560074
3.858E-7 13.123684 38.518833
3.858E-7 12.990101 38.485336
3.858E-7 12.903028 38.464024
3.858E-7 12.851084 38.451946
3.858E-7 12.818358 38.444881
3.858E-7 12.796208 38.440727
3.858E-7 12.788350 38.440151
3.858E-7 0.000000 0.000000
181.000000 212.000000
3.858E-7 23.117496 37.938736
3.858E-7 22.948050 37.932625
3.858E-7 22.650181 37.923607
3.858E-7 22.246096 37.912186
3.858E-7 21.782169 37.899849
3.858E-7 21.264191 37.886906
3.858E-7 20.676399 37.874023
3.858E-7 20.028852 37.862003
3.858E-7 19.358997 37.851486
3.858E-7 18.658079 37.842506
3.858E-7 17.946821 37.835033
3.858E-7 17.253725 37.833023
3.858E-7 16.589668 37.835960
3.858E-7 15.932941 37.844299
3.858E-7 15.369080 37.865612
3.858E-7 14.906155 37.898571
3.858E-7 14.525442 37.938900
3.858E-7 14.213011 37.984192
3.858E-7 13.961893 38.034256
3.858E-7 13.769080 38.088310
3.858E-7 13.630987 38.144459
3.858E-7 13.543121 38.202286
3.858E-7 13.503138 38.263046
3.858E-7 13.508056 38.329350
3.858E-7 13.555322 38.401222
3.858E-7 13.637345 38.477798
3.858E-7 13.742850 38.555664
3.858E-7 13.839564 38.623596
3.858E-7 13.858305 38.656033
3.858E-7 13.792067 38.656609
3.858E-7 13.671936 38.639545
3.858E-7 13.525355 38.612907
3.858E-7 13.377784 38.581367
3.858E-7 13.245699 38.549385
3.858E-7 13.090631 38.510635
3.858E-7 12.971220 38.480751
3.858E-7 12.893666 38.461868
3.858E-7 12.846755 38.451065
3.858E-7 12.816303 38.444576
3.858E-7 12.795625 38.440804
3.858E-7 12.788594 38.440388
3.858E-7 0.000000 0.000000
212.000000 243.000000
3.858E-7 23.839760 38.026882
3.858E-7 23.753551 38.022881
3.858E-7 23.559965 38.015274
3.858E-7 23.309544 38.005867
3.858E-7 22.967327 37.993965
3.858E-7 22.520031 37.979702
3.858E-7 21.942019 37.961834
3.858E-7 21.251589 37.941471
3.858E-7 20.526211 37.921539
3.858E-7 19.743193 37.902920
3.858E-7 19.009972 37.889557
3.858E-7 18.288130 37.880142
3.858E-7 17.552608 37.874966
3.858E-7 16.806795 37.875668
3.858E-7 16.075285 37.885330
3.858E-7 15.405569 37.907639
3.858E-7 14.843725 37.943535
3.858E-7 14.418301 37.990009
3.858E-7 14.111327 38.042191
3.858E-7 13.888228 38.097713
3.858E-7 13.731556 38.156418
3.858E-7 13.629531 38.218143
3.858E-7 13.573803 38.282410
3.858E-7 13.561525 38.348526
3.858E-7 13.592331 38.415985
3.858E-7 13.659536 38.486618
3.858E-7 13.751256 38.559769
3.858E-7 13.824363 38.620674
3.858E-7 13.825628 38.649567
3.858E-7 13.759050 38.650410
3.858E-7 13.648436 38.635494
3.858E-7 13.508941 38.609940
3.858E-7 13.366099 38.579006
3.858E-7 13.236978 38.547436
3.858E-7 13.084203 38.509151
3.858E-7 12.968273 38.480114
3.858E-7 12.893407 38.461891
3.858E-7 12.847628 38.451363
3.858E-7 12.817644 38.445000
3.858E-7 12.796754 38.441200
3.858E-7 12.789722 38.440796
3.858E-7 0.000000 0.000000
243.000000 273.000000
3.858E-7 21.447998 37.967178
3.858E-7 21.439806 37.966789
3.858E-7 21.422791 37.966419
3.858E-7 21.388784 37.965080
3.858E-7 21.338413 37.963013
3.858E-7 21.267832 37.961067
3.858E-7 21.170061 37.959446
3.858E-7 21.041111 37.957851
3.858E-7 20.848742 37.953999
3.858E-7 20.583580 37.947105
3.858E-7 20.226534 37.937168
3.858E-7 19.766710 37.924782
3.858E-7 19.214046 37.913151
3.858E-7 18.525404 37.900517
3.858E-7 17.574692 37.882206
3.858E-7 16.566507 37.872387
3.858E-7 15.688304 37.883278
3.858E-7 14.976957 37.917770
3.858E-7 14.488942 37.971970
3.858E-7 14.139923 38.035126
3.858E-7 13.897356 38.101685
3.858E-7 13.738218 38.169918
3.858E-7 13.644396 38.239426
3.858E-7 13.605310 38.310040
3.858E-7 13.611113 38.380985
3.858E-7 13.655114 38.452522
3.858E-7 13.739475 38.531639
3.858E-7 13.833060 38.605167
3.858E-7 13.856605 38.645710
3.858E-7 13.800859 38.653362
3.858E-7 13.692881 38.641445
3.858E-7 13.549469 38.617100
3.858E-7 13.400537 38.586452
3.858E-7 13.267818 38.555016
3.858E-7 13.112590 38.516342
3.858E-7 12.986278 38.484680
3.858E-7 12.903594 38.464432
3.858E-7 12.853298 38.452732
3.858E-7 12.821232 38.445812
3.858E-7 12.798772 38.441616
3.858E-7 12.791027 38.441135
3.858E-7 0.000000 0.000000
273.000000 304.000000
3.858E-7 19.101105 37.859440
3.858E-7 19.098585 37.859421
3.858E-7 19.094982 37.859497
3.858E-7 19.091539 37.859737
3.858E-7 19.087826 37.860001
3.858E-7 19.083975 37.860428
3.858E-7 19.078598 37.860909
3.858E-7 19.069571 37.861404
3.858E-7 19.048069 37.861855
3.858E-7 19.015987 37.862213
3.858E-7 18.979763 37.862434
3.858E-7 18.925072 37.863258
3.858E-7 18.833267 37.865261
3.858E-7 18.654987 37.865570
3.858E-7 18.311581 37.862167
3.858E-7 17.675760 37.851257
3.858E-7 16.751444 37.846245
3.858E-7 15.782073 37.855843
3.858E-7 15.024965 37.893894
3.858E-7 14.453422 37.953716
3.858E-7 14.081344 38.025078
3.858E-7 13.858227 38.097157
3.858E-7 13.707439 38.169052
3.858E-7 13.620131 38.241795
3.858E-7 13.591155 38.316463
3.858E-7 13.618058 38.394150
3.858E-7 13.702509 38.484142
3.858E-7 13.818653 38.575932
3.858E-7 13.880822 38.635887
3.858E-7 13.852345 38.655716
3.858E-7 13.756425 38.650253
3.858E-7 13.610559 38.628342
3.858E-7 13.449426 38.597263
3.858E-7 13.305470 38.564178
3.858E-7 13.141929 38.523716
3.858E-7 13.004122 38.489174
3.858E-7 12.913030 38.466763
3.858E-7 12.858268 38.453922
3.858E-7 12.824021 38.446438
3.858E-7 12.800125 38.441910
3.858E-7 12.791611 38.441269
3.858E-7 0.000000 0.000000
304.000000 334.000000
3.858E-7 16.786421 37.807594
3.858E-7 16.786497 37.807907
3.858E-7 16.786486 37.808125
3.858E-7 16.786512 37.808670
