	13.755134	37.955364
	13.755198	37.955387
	13.755258	37.955406
	13.755306	37.955418
	13.755350	37.955429
	13.755387	37.955441
	13.755423	37.955448
	13.755454	37.955456
	13.755486	37.955463
	13.755523	37.955471
	13.755570	37.955486
	13.755636	37.955509
	13.755709	37.955544
	13.755759	37.955620
	13.755838	37.955742
	13.755842	37.955879
	13.755695	37.956177
	13.755563	37.956703
	13.755209	37.957603
	13.754641	37.959030
	13.753719	37.961922
	13.744625	37.975582
	13.706014	38.022663
	13.668427	38.100510
	13.660045	38.220169
	13.669550	38.339214
	13.736685	38.458897
	13.859699	38.566254
	13.944887	38.638229
	13.938519	38.666698
	13.853191	38.665733
	13.703698	38.645779
	13.520092	38.612190
	13.356291	38.575562
	13.176896	38.531734
	13.022368	38.493153
	12.919518	38.467846
	12.858915	38.453587
	12.821899	38.445442
	12.796864	38.440617
	12.787673	38.439701
	0.000000	0.000000
