 1   1   1    0.10567E-07
 1   1   2    0.10567E-07
 1   1   3    0.10567E-07
 1   1   4    0.10567E-07
 1   1   5    0.10567E-07
 1   1   6    0.10567E-07
 1   1   7    0.10567E-07
 1   1   8    0.10567E-07
 1   1   9    0.10567E-07
 1   1  10    0.10567E-07
 1   1  11    0.10567E-07
 1   1  12    0.10567E-07
 1   1  13    0.10565E-07
 1   1  14    0.10558E-07
 1   1  15    0.10546E-07
 1   1  16    0.10507E-07
 1   1  17    0.10436E-07
 1   1  18    0.10315E-07
 1   1  19    0.10057E-07
 1   1  20    0.97106E-08
 1   1  21    0.91266E-08
 1   1  22    0.80299E-08
 1   1  23    0.67887E-08
 1   1  24    0.50870E-08
 1   1  25    0.17197E-08
 1   1  26    0.97902E-10
 1   1  27    0.18388E-12
 1   1  28    0.18205E-13
 1   1  29    0.54155E-14
 1   1  30    0.46004E-14
 1   1  31    0.45944E-14
 1   1  32    0.45417E-14
 1   1  33    0.45434E-14
 1   1  34    0.41713E-14
 1   1  35    0.29312E-14
 1   1  36    0.24650E-14
 1   1  37    0.25279E-14
 1   1  38    0.25759E-14
 1   1  39    0.25311E-14
 1   1  40    0.25142E-14
 1   1  41    0.25211E-14
 1   1  42    0.00000E+00
