 1   1   1    0.11804E-06
 1   1   2    0.11804E-06
 1   1   3    0.11804E-06
 1   1   4    0.11804E-06
 1   1   5    0.11804E-06
 1   1   6    0.11804E-06
 1   1   7    0.11804E-06
 1   1   8    0.11804E-06
 1   1   9    0.11804E-06
 1   1  10    0.11804E-06
 1   1  11    0.11804E-06
 1   1  12    0.11804E-06
 1   1  13    0.11804E-06
 1   1  14    0.11804E-06
 1   1  15    0.11805E-06
 1   1  16    0.11806E-06
 1   1  17    0.11811E-06
 1   1  18    0.11821E-06
 1   1  19    0.11841E-06
 1   1  20    0.11864E-06
 1   1  21    0.11795E-06
 1   1  22    0.11046E-06
 1   1  23    0.96362E-07
 1   1  24    0.71119E-07
 1   1  25    0.25879E-07
 1   1  26    0.13299E-08
 1   1  27    0.59397E-10
 1   1  28    0.77874E-10
 1   1  29    0.77211E-10
 1   1  30    0.66563E-10
 1   1  31    0.64758E-10
 1   1  32    0.70804E-10
 1   1  33    0.84248E-10
 1   1  34    0.10289E-09
 1   1  35    0.11831E-09
 1   1  36    0.12815E-09
 1   1  37    0.13266E-09
 1   1  38    0.13394E-09
 1   1  39    0.13416E-09
 1   1  40    0.13426E-09
 1   1  41    0.13431E-09
 1   1  42    0.00000E+00
